Order_ID,Order_Date,Customer_ID,Country,Product,Sales_Channel,Quantity,Unit_Price,Discount_%,Total_Sales
ORD00001,2025-10-16,CUST5012,USA,Headphones,Website,1,71,10,63.9
ORD00002,2025-11-23,CUST1520,UK,Mobile,Website,5,198,15,841.5
ORD00003,2024-08-26,CUST9928,Germany,Keyboard,Mobile App,5,74,5,351.5
ORD00004,2025-08-26,CUST7924,France,Mouse,Website,3,33,5,94.05
ORD00005,2024-08-08,CUST7224,UK,Monitor,Mobile App,3,229,0,687.0
ORD00006,2025-09-10,CUST9785,UK,Tablet,Website,3,108,15,275.4
ORD00007,2025-07-19,CUST2139,UK,Keyboard,Mobile App,3,760,5,2166.0
ORD00008,2024-03-22,CUST5554,Germany,Monitor,Website,2,226,15,384.2
ORD00009,2025-01-14,CUST2169,USA,Keyboard,Website,3,449,10,1212.3
ORD00010,2025-04-18,CUST6313,UK,Keyboard,Website,4,572,5,2173.6
ORD00011,2024-11-19,CUST4456,France,Keyboard,Mobile App,4,568,0,2272.0
ORD00012,2025-02-09,CUST3287,USA,Mouse,Mobile App,4,312,10,1123.2
ORD00013,2025-08-20,CUST3266,Germany,Mobile,Website,4,761,5,2891.8
ORD00014,2024-04-22,CUST2040,Germany,Tablet,Mobile App,2,347,15,589.9
ORD00015,2025-06-25,CUST2876,France,Monitor,Website,3,1153,0,3459.0
ORD00016,2024-10-27,CUST1053,France,Headphones,Website,4,343,15,1166.2
ORD00017,2025-10-02,CUST3504,France,Headphones,Website,3,1059,5,3018.15
ORD00018,2025-09-05,CUST2832,France,Mouse,Website,3,1020,0,3060.0
ORD00019,2024-02-29,CUST2403,Germany,Mobile,Website,2,1181,0,2362.0
ORD00020,2024-05-11,CUST5342,Germany,Keyboard,Website,4,1145,5,4351.0
ORD00021,2025-12-31,CUST8177,Germany,Mobile,Website,3,837,10,2259.9
ORD00022,2024-08-18,CUST4770,USA,Laptop,Website,1,712,0,712.0
ORD00023,2025-12-25,CUST1514,France,Mobile,Website,1,488,0,488.0
ORD00024,2024-10-12,CUST8744,USA,Printer,Mobile App,4,458,5,1740.4
ORD00025,2024-07-13,CUST6804,Germany,Tablet,Mobile App,1,218,15,185.3
ORD00026,2024-02-25,CUST6559,UK,Keyboard,Website,1,144,15,122.4
ORD00027,2024-07-13,CUST7912,USA,Mouse,Mobile App,5,938,5,4455.5
ORD00028,2024-09-12,CUST1828,UK,Mobile,Website,1,927,0,927.0
ORD00029,2024-06-19,CUST4502,Germany,Laptop,Website,4,1014,15,3447.6
ORD00030,2025-01-23,CUST8454,France,Tablet,Mobile App,1,819,10,737.1
ORD00031,2024-06-07,CUST1958,UK,Monitor,Website,2,627,5,1191.3
ORD00032,2024-02-21,CUST1931,UK,Headphones,Website,5,996,5,4731.0
ORD00033,2025-09-01,CUST2964,USA,Laptop,Website,1,501,15,425.85
ORD00034,2025-03-05,CUST5272,USA,Monitor,Website,5,1177,10,5296.5
ORD00035,2024-09-28,CUST8491,France,Mobile,Website,4,288,10,1036.8
ORD00036,2025-04-14,CUST2200,USA,Mouse,Website,5,1173,0,5865.0
ORD00037,2024-12-23,CUST5669,USA,Printer,Mobile App,1,520,10,468.0
